"Magebassi Easy Banner Slider.","Magebassi Easy Banner Slider."
"Please upload banner images.","Please upload banner images."
"Bassiwebs Easy Banner Slider","Bassiwebs Easy Banner Slider"
"Banner Manager","Banner Manager"
"Configuration Settings","Configuration Settings"
"Allow Everything","Allow Everything"
"Imageslider Module","Imageslider Module"
"Image Slider Settings","Image Slider Settings"
"Bassiwebs Extensions","Bassiwebs Extensions"
"Easy Banner Slider","Easy Banner Slider"
"Developer","Developer"
"Banner Slider Settings","Banner Slider Settings"
"Enabled","Enabled"
"Image Style","Image Style"
"Sliding Time","Sliding Time"
"seconds between the end of the sliding effect and the start of the next one","seconds between the end of the sliding effect and the start of the next one"
"Sliding Effect Time","Sliding Effect Time"
"length of the sliding effect in seconds","length of the sliding effect in seconds"
"Image width","Image width"
"in pixels","in pixels"
"Image height","Image height"
"Description","Description"
"show description in front of image","show description in front of image"
"Image Thumbnails","Image Thumbnails"
"Loader","Loader"
"Navigation","Navigation"
"navigation button (prev, next and play/stop buttons)","navigation button (prev, next and play/stop buttons)"
"Style","Style"
"Navigation Arrow backgorund Color","Navigation Arrow backgorund Color"
"Navigation Arrow backgorund Color code with '#' for e.g. #FFFFFF","Navigation Arrow backgorund Color code with '#' for e.g. #FFFFFF"
"Pagination/Thumbnail background Color","Pagination/Thumbnail background Color"
"Pagination/Thumbnail background color code with '#' for e.g. #333333","Pagination/Thumbnail background color code with '#' for e.g. #333333"
"Pagination dot Color","Pagination dot Color"
"Pagination dot color code with '#' for e.g. #434648","Pagination dot color code with '#' for e.g. #434648"
"Caption background Color","Caption background Color"
"Caption background color code with '#' for e.g. #333333","Caption background color code with '#' for e.g. #333333"
"Caption Text Color","Caption Text Color"
"Caption text color code with '#' for e.g. #FFFFFF","Caption text color code with '#' for e.g. #FFFFFF"
"Loader Bar Color","Loader Bar Color"
"Loader Bar Color code with '#' for e.g. #FFFFFF","Loader Bar Color code with '#' for e.g. #FFFFFF"
"Loader Background Color","Loader Background Color"
"Loader Background Color code with '#' for e.g. #222222","Loader Background Color code with '#' for e.g. #222222"
"Banner Manager","Banner Manager"
"Add banner image","Add banner image"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Edit banner '%s'","Edit banner '%s'"
"Add Banner","Add Banner"
"Banner Image","Banner Image"
"Banner Title","Banner Title"
"Sort Order","Sort Order"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Banner Information","Banner Information"
"Image Title","Image Title"
"Image","Image"
"Image Status","Image Status"
"Disabled","Disabled"
"Image Url","Image Url"
"Image URL","Image URL"
"Link Target","Link Target"
"New Tab: To open in new tab, Same Tab: To open in same tab","New Tab: To open in new tab, Same Tab: To open in same tab"
"Same Tab","Same Tab"
"New Tab","New Tab"
"Content","Content"
"Save And Continue Edit","Save And Continue Edit"